date,location,latitude,longitude,subject_race,subject_sex,violation,citation_issued,warning_issued,outcome
12/1/07,UNIVERSITY AVE,43.0753005,-89.445814,hispanic,male,operating while intox.,TRUE,FALSE,citation
12/1/07,UNIVERSITY AVE,43.0753005,-89.445814,hispanic,male,"owi-""""bac .1%+""""",TRUE,FALSE,citation
12/1/07,UNIVERSITY AVE,43.0753005,-89.445814,hispanic,male,driving against traffic(one-way st),TRUE,FALSE,citation
12/1/07,MINERAL POINT RD,43.0606544,-89.5001959,hispanic,female,fail to obey traf sign or signal (2nd+),TRUE,FALSE,citation
12/1/07,E WASHINGTON AVE,43.1109638,-89.333606,white,female,failure to yield from stop sign,TRUE,FALSE,citation
12/1/07,HY 12 WB BELTLINE,43.04239497800006,-89.3653512,white,female,driving too fast for conditions,TRUE,FALSE,citation
12/1/07,MIFFLIN ST,43.0722158,-89.3899998,white,male,operating after suspension,TRUE,FALSE,citation
12/1/07,MIFFLIN ST,43.0722158,-89.3899998,white,male,operating unreg. or expired vehicle >=10000 lbs,TRUE,FALSE,citation
12/2/07,SEMINOLE HIGHWAY,43.0358217,-89.4436018,black,female,operating after revocation (2nd),TRUE,FALSE,citation
12/2/07,N CARROLL ST,43.0763679,-89.3885913,white,male,operating while intox. w/pass < age 16,TRUE,FALSE,citation
12/2/07,N CARROLL ST,43.0763679,-89.3885913,white,male,"owi-""""bac .1%+"""" w/pass < age 16",TRUE,FALSE,citation
12/2/07,W  BELTLINE HWY,43.0411515,-89.4620083,white,male,speeding over fixed limits (20-24 mph),TRUE,FALSE,citation
12/2/07,JOHN NOLEN DR,43.0564469,-89.3822129,white,male,346.57(5) speeding 16-19 over limit,FALSE,TRUE,warning
12/2/07,VERONA FRONTAGE RD E,43.03277360000001,-89.459706,black,male,operating unreg. or expired vehicle <=10000 lbs,TRUE,FALSE,citation
12/2/07,VERONA FRONTAGE RD E,43.03277360000001,-89.459706,black,male,operating after suspension,TRUE,FALSE,citation
12/2/07,S WHITNEY WAY,43.0463612,-89.4734031,hispanic,male,improper use of registration (display),TRUE,FALSE,citation
12/2/07,ALLIED DR,43.0281425,-89.4595308,black,male,operating after revocation (4th+),TRUE,FALSE,citation
12/2/07,1025 REGENT ST,43.067335,-89.4028697,white,male,right turn improper,TRUE,FALSE,citation
12/2/07,S STOUGHTON RD SERVICE RD,43.0692974,-89.3089468,white,male,inattentive driving,FALSE,TRUE,warning
12/3/07,W WASHINGTON AVE,43.06853510000001,-89.3930027,white,female,fail/stop for flashing red signal,TRUE,FALSE,citation
12/3/07,SHERMAN AVE,43.09471170000001,-89.3698633,white,male,failure to yield from stop sign,TRUE,FALSE,citation
12/3/07,200 W LAKESIDE ST,43.0560182,-89.3855415,white,female,speeding in school zone,FALSE,TRUE,warning
12/3/07,CTH M,43.0481318,-89.5303667,white,female,no left turn / no right turn (posted),TRUE,FALSE,citation
12/3/07,PLAUM RD,43.0623078,-89.308791,hispanic,male,fail to obey official traffic sign or signal,TRUE,FALSE,citation
12/3/07,300 W LAKESIDE,43.0560284,-89.3867195,white,female,speeding,FALSE,TRUE,warning
12/3/07,CTH M,43.0481318,-89.5303667,white,male,no right turn 7a-9a,FALSE,TRUE,warning
12/3/07,CTH M,43.0481318,-89.5303667,white,female,no left turn / no right turn (posted),TRUE,FALSE,citation
12/3/07,6400 OLD SAUK RD,43.0752163,-89.4911962,white,female,speeding over fixed limits (1-10 mph),TRUE,FALSE,citation
12/3/07,MCKENNA BL,43.031598,-89.4970348,asian/pacific islander,male,violate red traffic signal,TRUE,FALSE,citation
12/3/07,900 S PARK ST,43.0578774,-89.4001047,white,female,automobile following too closely,TRUE,FALSE,citation
12/3/07,CTH M,43.0481318,-89.5303667,white,female,no right turn 7a-9a,FALSE,TRUE,warning
12/3/07,5100 BLOCK UNITY WAY,43.02689820000001,-89.2931273,white,female,driving too fast for conditions,TRUE,FALSE,citation
12/3/07,HAMMERSLEY RD,43.0391441,-89.4753031,white,female,deviating from trf lane- not in designtd lane,TRUE,FALSE,citation
12/3/07,2424 S STOUGHTON RD,43.0630592,-89.3104305,white,male,failure to keep vehicle under control,TRUE,FALSE,citation
12/3/07,200 DEMPSEY,43.0934293,-89.316651,black,male,aggressive driving -none-6-10 minutes,FALSE,TRUE,warning
12/3/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,illegal right/left turn on red,TRUE,FALSE,citation
12/3/07,2400 S STOUGHTON ROAD  FRONTAGE,43.063673025000064,-89.30984515,hispanic,male,operating after revocation (2nd),TRUE,FALSE,citation
12/3/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,no right on red 7a-6p,FALSE,TRUE,warning
12/3/07,RAYMOND RD,43.0317059,-89.4970321,white,male,speeding 47 in 30 mph zone,FALSE,TRUE,warning
12/3/07,DEMING WAY,43.08162249999999,-89.534065,asian/pacific islander,male,driving too fast for conditions,TRUE,FALSE,citation
12/3/07,S WEBSTER ST,43.0751326,-89.3808052,white,female,illegal right/left turn on red,TRUE,FALSE,citation
12/3/07,E WASHINGTON AVE,43.1109638,-89.333606,white,female,illegal right/left turn on red,TRUE,FALSE,citation
12/3/07,N BUTLER ST,43.078933,-89.3840455,white,female,driving too fast for conditions,TRUE,FALSE,citation
12/3/07,E WASHINGTON AVE,43.1109638,-89.333606,hispanic,male,illegal right/left turn on red,TRUE,FALSE,citation
12/3/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,speeding over fixed limits (1-10 mph),TRUE,FALSE,citation
12/3/07,S MIDVALE BLVD,43.0515228,-89.4512128,white,female,oper veh after rev/sus/can of reg <=10000 lbs,TRUE,FALSE,citation
12/3/07,MILWAUKEE ST,43.0988773,-89.3015781,white,male,operating unreg. or expired vehicle <=10000 lbs,TRUE,FALSE,citation
12/3/07,5100 BLOCK OF MONONA DR,43.0646604,-89.3260743,hispanic,male,driving too fast for conditions,TRUE,FALSE,citation
12/3/07,E WASHIGTON AV,43.1109638,-89.333606,white,male,operating unreg. or expired vehicle <=10000 lbs,TRUE,FALSE,citation
12/3/07,E WASHINGTON AVE,43.1109638,-89.333606,white,female,illegal right/left turn on red,TRUE,FALSE,citation
12/3/07,1400 E WASHINGTON AV,43.089487,-89.3646221,white,female,vehicle operator fail/wear seat belt,TRUE,FALSE,citation
12/3/07,MIDVALE BLVD,43.07175820000001,-89.4512675,white,male,inattentive driving,TRUE,FALSE,citation
12/3/07,MIDVALE BLVD,43.07175820000001,-89.4512675,white,male,hit and run-unattended vehicle,TRUE,FALSE,citation
12/3/07,RED ARROW TRL,43.0319308,-89.4571908,white,male,fail/stop at stop sign,TRUE,FALSE,citation
12/3/07,RED ARROW TRL,43.0319308,-89.4571908,white,male,operating after suspension (2nd),TRUE,FALSE,citation
12/3/07,USH 12 18 EB,42.93157168400006,-88.83821536,white,male,automobile following too closely,TRUE,FALSE,citation
12/3/07,E WASHINGTON AVE,43.1109638,-89.333606,white,female,unsafe turn-w/o reasonable safety,TRUE,FALSE,citation
12/3/07,RED ARROW TRL,43.0319308,-89.4571908,white,male,fail/stop at stop sign,TRUE,FALSE,citation
12/3/07,S BROOM ST,43.0696318,-89.3866353,white,female,vehicles to be driven on right side of road,FALSE,TRUE,warning
12/3/07,4500 BL VERONA RD,43.0367522,-89.4531896,black,male,operating after revocation,TRUE,FALSE,citation
12/3/07,BRITTA DR,43.0346239,-89.4511851,black,female,operation w/o required lamps lighted,TRUE,FALSE,citation
12/3/07,W WASHINGTON AVE,43.06853510000001,-89.3930027,white,female,unlawful u/y turn-control.intersection,TRUE,FALSE,citation
12/4/07,UNIVERSITY AVE,43.0753005,-89.445814,white,female,unsafe turn-w/o reasonable safety,TRUE,FALSE,citation
12/4/07,3100 E WASHINGTON AVE,43.1086672,-89.3373142,white,male,speeding over fixed limits (16-19 mph),TRUE,FALSE,citation
12/4/07,E WASHINGTON AVE,43.1109638,-89.333606,white,female,operate motor vehicle w/o capable brakes,TRUE,FALSE,citation
12/4/07,JOHN NOLEN DR,43.0564469,-89.3822129,white,male,failure to make turning movement in safety,FALSE,TRUE,warning
12/4/07,WATTS RD,43.0509065,-89.512101,white,female,fail to yld turning left at intersection,TRUE,FALSE,citation
12/4/07,DEMPSEY RD,43.08893079999999,-89.3163587,white,male,inattentive driving,TRUE,FALSE,citation
12/4/07,E WASHINGTON AVE,43.1109638,-89.333606,hispanic,male,failure to yield right of way,TRUE,FALSE,citation
12/4/07,E WASHINGTON AVE,43.1109638,-89.333606,hispanic,male,operate w/o valid license,TRUE,FALSE,citation
12/4/07,2400 SUPERIOR ST,43.1050861,-89.3628824,white,female,hit and run-unattended vehicle,TRUE,FALSE,citation
12/4/07,PACKERS AVE,43.12472320000001,-89.3552405,white,female,"violate yellow signal-$83.80, 3 pts",FALSE,TRUE,warning
12/4/07,1025 REGENT ST,43.067335,-89.4028697,white,male,driving too fast for conditions,TRUE,FALSE,citation
12/4/07,COMMERCIAL AVE,43.1068915,-89.3256967,white,female,driving too fast for conditions,TRUE,FALSE,citation
12/4/07,10 N  HENRY ST,43.0727267,-89.387589,white,male,unsafe backing of vehicle,TRUE,FALSE,citation
12/5/07,COTTAGE GROVE RD,43.0845387,-89.2857204,hispanic,male,operating after revocation,TRUE,FALSE,citation
12/5/07,COTTAGE GROVE RD,43.0845387,-89.2857204,hispanic,male,mv windows not reasonably clean,TRUE,FALSE,citation
12/5/07,E WASHINGTON AVE,43.1109638,-89.333606,white,female,fail to yld turning left at intersection,TRUE,FALSE,citation
12/5/07,1000 STOUGHTON ROAD,43.1110726,-89.3185078,white,male,failure to keep vehicle under control,TRUE,FALSE,citation
12/5/07,NORTHPORT DRIVE,43.1369588,-89.3793899,white,female,violate red traffic signal,TRUE,FALSE,citation
